pt1_X+-CI,pt1_Y+-CI,pt1_Z+-CI,pt2_X+-CI,pt2_Y+-CI,pt2_Z+-CI
0.019499,0.004822,0.026185,0.016419,0.005106,0.025091
0.019868,0.004947,0.026237,0.016388,0.005322,0.024486
0.019062,0.004669,0.025324,0.016859,0.004824,0.024829
0.018362,0.004592,0.024725,0.016906,0.004629,0.025897
0.017771,0.004905,0.024723,0.016701,0.005060,0.024118
0.018165,0.004667,0.024835,0.016621,0.004804,0.025720
0.019518,0.004872,0.026016,0.018154,0.005271,0.028026
0.019833,0.005042,0.026843,0.017195,0.005091,0.025881
0.018964,0.004858,0.024230,0.017801,0.004920,0.025308
0.021228,0.004934,0.028639,0.017094,0.004705,0.026089
0.019546,0.004892,0.025554,0.017691,0.005028,0.027031
0.019914,0.004474,0.027425,0.017424,0.004885,0.026289
0.020275,0.004313,0.026612,0.017070,0.005146,0.026282
0.021568,0.004762,0.028048,0.017181,0.004375,0.026609
0.020466,0.005134,0.027504,0.016598,0.005041,0.025070
0.019136,0.004711,0.025960,0.017023,0.004633,0.025636
0.020787,0.004713,0.028104,0.017317,0.004942,0.026237
0.018618,0.004663,0.025822,0.017200,0.004991,0.026128
0.020165,0.004941,0.026905,0.018032,0.004945,0.028029
0.019738,0.005231,0.026793,0.017508,0.004820,0.026360
0.017879,0.004990,0.025336,0.017048,0.005342,0.027476
0.019479,0.005017,0.026930,0.016151,0.005166,0.025204
0.020169,0.004986,0.028174,0.016515,0.005191,0.025980
0.019408,0.004726,0.026857,0.016699,0.004817,0.027649
0.018967,0.004876,0.025812,0.017094,0.005463,0.026992
0.018150,0.004858,0.025198,0.017590,0.005226,0.028616
0.020270,0.004923,0.028562,0.017822,0.004970,0.026634
0.022793,0.004693,0.031490,0.018200,0.005124,0.029260
0.018160,0.004741,0.025815,0.018655,0.004729,0.030107
0.021124,0.005394,0.030302,0.017689,0.004984,0.027616
0.021414,0.004978,0.030591,0.016634,0.004857,0.027075
0.020618,0.005445,0.029055,0.018377,0.004806,0.030008
0.020207,0.005226,0.027950,0.017882,0.005302,0.028000
0.021162,0.005136,0.030325,0.017633,0.004947,0.028873
0.020769,0.004874,0.029530,0.019209,0.004903,0.030089
0.019731,0.004598,0.028907,0.019080,0.005318,0.030829
0.019257,0.004694,0.027092,0.018590,0.005813,0.030297
0.020930,0.004864,0.030708,0.017081,0.005802,0.028602
0.020646,0.004906,0.029945,0.018249,0.005295,0.029843
0.020784,0.005293,0.031856,0.017837,0.005402,0.030293
0.020625,0.004906,0.031236,0.018569,0.005229,0.031033
0.019291,0.005422,0.029384,0.016726,0.005591,0.027841
0.022083,0.004950,0.032144,0.017587,0.005394,0.030270
0.018677,0.005469,0.027629,0.017676,0.005585,0.030542
0.020842,0.005080,0.031804,0.017821,0.005499,0.031026
0.020183,0.005156,0.030298,0.018185,0.005735,0.031900
0.020606,0.004940,0.031262,0.016873,0.005566,0.030169
0.021657,0.004709,0.033836,0.017863,0.005324,0.031255
0.020275,0.004882,0.031433,0.018503,0.005229,0.031773
0.019546,0.005321,0.030036,0.017018,0.005371,0.029883
0.020945,0.004886,0.031634,0.017170,0.005783,0.030937
0.021435,0.005125,0.033291,0.018241,0.005488,0.032790
0.020358,0.005371,0.030832,0.018166,0.005160,0.032600
0.019230,0.005162,0.030270,0.017968,0.005342,0.031923
0.018827,0.005314,0.029578,0.016145,0.004967,0.028944
0.020254,0.004944,0.031838,0.017250,0.005660,0.030440
0.020237,0.005298,0.032861,0.017187,0.005039,0.030973
0.019898,0.004980,0.030285,0.017751,0.005242,0.031894
0.020502,0.005466,0.031941,0.016472,0.004990,0.029435
0.020802,0.005321,0.032171,0.016143,0.005453,0.029802
0.019913,0.005024,0.032239,0.017251,0.005183,0.031303
0.021300,0.005517,0.032730,0.017056,0.005407,0.030046
0.019816,0.005554,0.031887,0.017034,0.005270,0.031227
0.018841,0.004933,0.030708,0.017306,0.005034,0.031092
0.019647,0.005740,0.031292,0.017294,0.005048,0.032730
0.019183,0.004801,0.031165,0.017780,0.005040,0.033440
0.017757,0.005510,0.028516,0.016723,0.004963,0.031772
0.018638,0.005532,0.029778,0.015956,0.005099,0.029996
0.018383,0.005216,0.029984,0.015820,0.005071,0.028657
0.018815,0.005123,0.031058,0.016519,0.004814,0.029978
0.018392,0.005232,0.030020,0.016750,0.005244,0.031100
0.017815,0.005323,0.029283,0.016836,0.005716,0.031986
0.019868,0.005197,0.031761,0.016783,0.005327,0.032424
0.017320,0.004852,0.028020,0.016381,0.005368,0.031428
0.017048,0.005201,0.027921,0.015981,0.004891,0.029331
0.019049,0.005183,0.030921,0.015262,0.005125,0.030861
0.017226,0.004753,0.027767,0.015399,0.005402,0.028513
0.019202,0.005566,0.031006,0.014692,0.004934,0.029128
0.017843,0.005529,0.028389,0.015563,0.004770,0.029961
0.017685,0.005423,0.029168,0.015644,0.005218,0.030016
0.017162,0.005384,0.029490,0.015172,0.004833,0.028323
0.017829,0.004914,0.029495,0.014623,0.004863,0.028627
0.018366,0.005245,0.030755,0.015386,0.005259,0.028784
0.017184,0.005078,0.028862,0.013990,0.004654,0.028846
0.018527,0.005128,0.031261,0.015112,0.005177,0.028995
0.015688,0.005042,0.026060,0.014936,0.005050,0.029223
0.016534,0.005098,0.027184,0.015474,0.005021,0.029727
0.016959,0.005380,0.027289,0.013678,0.004950,0.026134
0.016746,0.004960,0.027799,0.014367,0.004898,0.027033
0.015674,0.005388,0.026631,0.015368,0.004660,0.028896
0.015990,0.004885,0.027021,0.015179,0.004275,0.029248
0.016080,0.005266,0.025626,0.014622,0.004879,0.028600
0.016062,0.005330,0.026433,0.014657,0.004809,0.028593
0.015499,0.005108,0.026048,0.014322,0.004521,0.027793
0.016117,0.005072,0.027648,0.013381,0.004735,0.026778
0.015127,0.004855,0.025152,0.014185,0.004868,0.028497
0.016251,0.004960,0.026875,0.014099,0.004752,0.026546
0.015906,0.005285,0.026682,0.012847,0.004858,0.025651
0.015688,0.004691,0.026989,0.013425,0.004547,0.026874
0.015395,0.004724,0.025936,0.012779,0.005182,0.025061
0.015718,0.005163,0.027353,0.013648,0.004414,0.026382
0.016262,0.005168,0.026880,0.013762,0.005046,0.028341
0.015462,0.005181,0.026515,0.014174,0.005048,0.027546
0.015347,0.004807,0.026008,0.013116,0.004559,0.026189
0.015990,0.004595,0.026603,0.012598,0.004832,0.025345
0.014682,0.004582,0.025215,0.013926,0.004577,0.025549
0.015167,0.005119,0.025593,0.012849,0.004882,0.026216
0.015786,0.005398,0.026245,0.013217,0.004849,0.025679
0.014790,0.004857,0.025543,0.011910,0.004679,0.023743
0.014761,0.004946,0.024919,0.012105,0.004423,0.023497
0.014971,0.005225,0.025106,0.012626,0.004742,0.026310
0.014844,0.004457,0.025579,0.012906,0.004738,0.024497
0.015774,0.004710,0.027117,0.013229,0.004875,0.026050
0.015194,0.004888,0.027138,0.012893,0.004797,0.024969
0.015835,0.004199,0.027000,0.012664,0.004396,0.025117
0.014794,0.004476,0.025183,0.012401,0.004773,0.024504
0.014089,0.004434,0.023501,0.012094,0.004513,0.023613
0.014104,0.004787,0.024683,0.012086,0.004574,0.023371
0.013619,0.004686,0.023106,0.011893,0.004975,0.023204
0.014044,0.004813,0.023693,0.013049,0.004503,0.025852
0.015114,0.004873,0.027477,0.012413,0.004688,0.024028
0.015999,0.004541,0.026407,0.011993,0.004651,0.025152
0.014340,0.004727,0.024735,0.012331,0.004480,0.024277
0.015688,0.004957,0.027523,0.012264,0.004473,0.024148
0.014843,0.005000,0.025992,0.012382,0.005004,0.025028
0.015483,0.004896,0.027185,0.012689,0.004565,0.025514
0.014791,0.004791,0.025617,0.012552,0.004581,0.025822
0.014474,0.004830,0.025730,0.013315,0.004354,0.027089
0.015666,0.004803,0.027496,0.012895,0.004890,0.026034
0.013866,0.005127,0.025173,0.012628,0.004515,0.026185
0.014545,0.005050,0.026428,0.012964,0.004877,0.026942
0.015205,0.004845,0.026967,0.014064,0.004798,0.029470
0.015540,0.004992,0.027282,0.012952,0.004654,0.026057
0.015686,0.004790,0.027872,0.013518,0.004450,0.029175
0.015181,0.004756,0.027307,0.012269,0.005274,0.026300
0.013974,0.004783,0.025796,0.013130,0.005050,0.027562
0.014428,0.004917,0.026317,0.012568,0.004658,0.027429
0.015041,0.005065,0.027731,0.012770,0.004786,0.027466
0.015141,0.005151,0.028565,0.013428,0.004919,0.029794
0.015000,0.004966,0.027839,0.012643,0.004974,0.027657
0.015606,0.005288,0.028083,0.013117,0.004950,0.028149
0.015561,0.004836,0.029300,0.012171,0.004807,0.027680
0.014515,0.005229,0.027269,0.012968,0.005011,0.028507
0.014791,0.005147,0.028227,0.013470,0.005170,0.029858
0.015212,0.004908,0.028437,0.012574,0.004900,0.028876
0.015138,0.005158,0.030009,0.013209,0.005044,0.028997
0.015136,0.005426,0.028519,0.011926,0.005375,0.027402
0.015117,0.005290,0.028819,0.012771,0.005298,0.029057
0.014872,0.005385,0.028726,0.012352,0.005394,0.028443
0.014405,0.005266,0.027692,0.012594,0.005013,0.029029
0.013173,0.004940,0.027657,0.013182,0.005118,0.029773
0.013636,0.005018,0.026151,0.012819,0.004925,0.029786
0.014760,0.004940,0.029173,0.012621,0.005122,0.029301
0.014375,0.004828,0.027500,0.013066,0.005127,0.030868
0.015307,0.004869,0.031053,0.011757,0.004735,0.027195
0.014456,0.005079,0.028318,0.012119,0.005354,0.029390
0.014550,0.004970,0.029890,0.012790,0.005384,0.029476
0.014990,0.005512,0.029155,0.012664,0.005124,0.029966
0.015743,0.005267,0.031317,0.012456,0.005316,0.030171
0.014493,0.004649,0.028685,0.012491,0.004904,0.030041
0.014351,0.005429,0.029377,0.012869,0.005060,0.031505
0.014150,0.005020,0.029442,0.013074,0.005283,0.031438
0.015488,0.005041,0.031635,0.013743,0.005413,0.032481
0.015883,0.004920,0.031312,0.012172,0.005453,0.029502
0.014225,0.004954,0.029491,0.011848,0.004526,0.029415
0.013813,0.005031,0.030040,0.012824,0.005030,0.031749
0.013941,0.005020,0.029036,0.012556,0.005257,0.030387
0.013911,0.004708,0.028473,0.012116,0.005317,0.028231
0.014145,0.005322,0.029895,0.012802,0.005462,0.030773
0.014305,0.004930,0.030610,0.012539,0.005107,0.031487
0.013273,0.004964,0.027251,0.012972,0.005146,0.030910
0.014910,0.005513,0.030659,0.013636,0.004903,0.034173
0.014019,0.004585,0.029743,0.011792,0.004928,0.029381
0.013522,0.004881,0.028562,0.011364,0.004737,0.029353
0.014518,0.005124,0.031141,0.011555,0.005278,0.028726
0.013396,0.004949,0.028695,0.011805,0.005282,0.030344
0.013408,0.005424,0.028135,0.011633,0.005103,0.030783
0.013559,0.005212,0.030709,0.011604,0.004877,0.030319
0.013431,0.005421,0.029146,0.011567,0.004968,0.029918
0.013650,0.005099,0.029154,0.012041,0.004888,0.031100
0.013663,0.005355,0.029779,0.010513,0.005300,0.027367
0.013378,0.005589,0.029672,0.012526,0.005030,0.032447
0.013073,0.004784,0.029004,0.010746,0.004730,0.028169
0.011750,0.004904,0.025726,0.010996,0.005215,0.030599
0.013432,0.004906,0.029283,0.010618,0.005063,0.030353
0.012419,0.004827,0.028697,0.010770,0.005068,0.029361
0.012706,0.005058,0.027314,0.011021,0.004832,0.030003
0.012233,0.004639,0.028447,0.011236,0.005095,0.027048
0.012238,0.005155,0.027834,0.010301,0.005209,0.029092
0.012349,0.004922,0.027779,0.009981,0.004632,0.027671
0.013079,0.004599,0.027918,0.010996,0.004683,0.029229
0.011237,0.005130,0.026568,0.009698,0.005098,0.025207
0.011749,0.004889,0.027726,0.010474,0.005281,0.028680
0.013310,0.005565,0.030558,0.009581,0.004565,0.027343
0.011339,0.004841,0.026211,0.010051,0.005147,0.027999
0.010529,0.004701,0.025862,0.010255,0.005200,0.028088
0.012132,0.004547,0.029089,0.009039,0.004226,0.025385
0.010803,0.004747,0.026578,0.008987,0.004956,0.027099
0.010028,0.005212,0.024915,0.009673,0.005190,0.028430
0.010654,0.004625,0.027168,0.008878,0.004706,0.024882
0.010487,0.004729,0.026413,0.008559,0.004522,0.025439
0.010165,0.004699,0.025439,0.008961,0.004460,0.024148
0.010247,0.004676,0.024816,0.008471,0.004767,0.024632
0.010237,0.004908,0.024452,0.008594,0.004783,0.026158
0.010595,0.004585,0.025382,0.008641,0.004538,0.025507
0.010363,0.004663,0.025861,0.008469,0.004575,0.025099
0.008984,0.004408,0.023438,0.008289,0.004800,0.026027
0.010145,0.004506,0.026017,0.007783,0.004561,0.024553
0.009397,0.004742,0.024065,0.008647,0.004484,0.026953
0.009396,0.004711,0.024143,0.007744,0.004202,0.024435
0.009380,0.004682,0.024546,0.008258,0.004738,0.024345
0.009748,0.004703,0.025271,0.007541,0.005108,0.022554
0.009009,0.004698,0.023435,0.007682,0.004344,0.024973
0.009388,0.004727,0.023006,0.008099,0.004486,0.026752
0.009533,0.004671,0.025739,0.008089,0.004872,0.024775
0.008704,0.005022,0.023712,0.007818,0.004705,0.024303
0.008566,0.004573,0.022993,0.008310,0.004508,0.025292
0.009861,0.004626,0.025199,0.007862,0.004878,0.024404
0.009606,0.004705,0.024718,0.007081,0.004560,0.024383
0.009323,0.004437,0.023902,0.007751,0.004935,0.024782
0.008669,0.004713,0.023141,0.007212,0.004836,0.025202
0.009215,0.005145,0.024917,0.007437,0.004634,0.024778
0.009336,0.004696,0.025448,0.008024,0.004599,0.026731
0.009089,0.004949,0.024498,0.007595,0.004727,0.024405
0.009108,0.004950,0.025143,0.007433,0.004499,0.025857
0.008905,0.004960,0.022501,0.006946,0.004562,0.024289
0.009408,0.004869,0.024806,0.008039,0.004574,0.026227
0.009684,0.004795,0.026626,0.008064,0.004494,0.025831
0.009548,0.004966,0.026209,0.007365,0.004761,0.026399
0.009614,0.004441,0.026589,0.007321,0.004809,0.026169
0.009223,0.004634,0.024034,0.007656,0.004500,0.025501
0.009095,0.005014,0.023087,0.008671,0.004818,0.028293
0.009763,0.004691,0.027393,0.007928,0.004734,0.026612
0.009981,0.004769,0.026831,0.007762,0.004535,0.026276
0.009213,0.004843,0.025756,0.008431,0.005102,0.028144
0.010270,0.005279,0.028728,0.007435,0.004955,0.027088
0.008917,0.004672,0.024939,0.008466,0.004761,0.027843
0.010680,0.004639,0.028852,0.008115,0.005184,0.026349
0.010252,0.005134,0.027166,0.009230,0.005036,0.029810
0.010606,0.004969,0.028115,0.008632,0.005223,0.027796
0.010837,0.004998,0.029264,0.008405,0.005031,0.027639
0.010823,0.004974,0.028941,0.008673,0.005009,0.028404
0.010080,0.005097,0.027295,0.009015,0.005097,0.028041
0.011135,0.005180,0.030529,0.009172,0.004953,0.030440
0.009822,0.004930,0.026824,0.008973,0.004454,0.030683
0.011433,0.005025,0.029346,0.009460,0.004972,0.030321
0.010978,0.004959,0.030052,0.009161,0.005023,0.030130
0.010857,0.005094,0.029805,0.010131,0.005323,0.033595
0.011125,0.005132,0.029701,0.009583,0.004813,0.031370
0.011260,0.004912,0.029978,0.010794,0.005165,0.033493
0.010543,0.005043,0.027792,0.010406,0.004859,0.033378
0.011168,0.005351,0.031736,0.010153,0.005503,0.032255
0.012589,0.005261,0.033321,0.009388,0.004757,0.028806
0.010790,0.004900,0.028125,0.009757,0.005292,0.030558
0.012210,0.005562,0.031426,0.010352,0.005236,0.032085
0.011975,0.004994,0.030777,0.009717,0.005067,0.030247
0.010673,0.005349,0.027798,0.010700,0.005371,0.032571
0.012767,0.005036,0.031502,0.010542,0.005404,0.032572
0.012466,0.005116,0.033058,0.010380,0.005192,0.032621
0.012436,0.004913,0.031447,0.009927,0.005095,0.032261
0.011278,0.005120,0.029622,0.010026,0.005202,0.030767
0.012735,0.005383,0.030978,0.010532,0.005469,0.030507
0.013395,0.005405,0.033733,0.010285,0.004758,0.031557
0.012409,0.005304,0.030824,0.009821,0.004910,0.031610
0.012657,0.005512,0.031036,0.010600,0.005331,0.031217
0.012240,0.005272,0.029832,0.010576,0.005522,0.030369
0.011047,0.005056,0.027570,0.010710,0.005011,0.030529
0.011346,0.005241,0.028843,0.010754,0.005024,0.031543
0.012071,0.004986,0.029359,0.010134,0.005061,0.028841
0.012115,0.005161,0.028694,0.010406,0.005232,0.030485
0.012837,0.004827,0.030273,0.010594,0.004817,0.029700
0.011553,0.004825,0.027766,0.009724,0.004766,0.028078
0.012335,0.005174,0.028847,0.011356,0.004947,0.031228
0.011860,0.004846,0.027565,0.009849,0.005002,0.026115
0.011965,0.005035,0.028607,0.010175,0.005294,0.027978
0.010889,0.005056,0.025105,0.010570,0.004916,0.029374
0.011636,0.004961,0.027071,0.009829,0.005015,0.027831
0.011901,0.004858,0.027929,0.010488,0.005100,0.029168
0.010561,0.005041,0.025025,0.010049,0.005157,0.027253
0.012091,0.004643,0.026757,0.009410,0.004419,0.025185
0.011401,0.004631,0.024803,0.010335,0.004956,0.028225
0.012286,0.004803,0.026855,0.010138,0.004576,0.026377
0.011169,0.004720,0.024920,0.010504,0.004804,0.028963
0.011757,0.004499,0.025608,0.009993,0.004822,0.025976
0.012029,0.005076,0.025781,0.010881,0.004705,0.026503
0.010896,0.004908,0.023119,0.009846,0.004570,0.025827
0.011810,0.004720,0.025712,0.009958,0.004407,0.026283
0.011697,0.004873,0.024395,0.009936,0.004539,0.025764
0.010583,0.005072,0.023017,0.009799,0.005012,0.025868
0.011596,0.004927,0.024207,0.009987,0.004534,0.025254
0.011856,0.004258,0.024786,0.010263,0.004904,0.024862
0.011134,0.004649,0.024614,0.010376,0.004577,0.025169
0.012731,0.004716,0.025984,0.009794,0.004985,0.024107
0.012048,0.004921,0.024179,0.010228,0.004825,0.025162
0.012067,0.004414,0.023998,0.009906,0.004385,0.024210
0.012554,0.004352,0.024593,0.010248,0.004559,0.023702
0.013380,0.004555,0.025990,0.009439,0.004992,0.022863
0.012420,0.004638,0.025312,0.010709,0.004377,0.024633
0.013364,0.004673,0.025920,0.010574,0.004437,0.025086
0.012975,0.004455,0.026117,0.010469,0.004682,0.024945
0.012711,0.004781,0.024102,0.011315,0.004271,0.026686
0.013257,0.004863,0.025067,0.011430,0.004632,0.026071
0.012280,0.005042,0.023374,0.011234,0.005069,0.026990
0.012932,0.004576,0.024843,0.012166,0.004691,0.027904
0.013044,0.004908,0.025439,0.011616,0.004719,0.026168
0.013665,0.005222,0.025573,0.011177,0.004921,0.025752
0.013726,0.004964,0.025729,0.011412,0.004719,0.025004
0.013947,0.005328,0.026214,0.012392,0.004878,0.028199
0.014599,0.005098,0.026977,0.011699,0.004836,0.026558
0.014324,0.004939,0.026536,0.011321,0.004417,0.025381
0.014568,0.004901,0.027492,0.014406,0.005208,0.031529
0.015819,0.005286,0.029584,0.012203,0.004750,0.027750
0.014046,0.004890,0.026818,0.012695,0.004948,0.028971
0.016717,0.005506,0.031093,0.013751,0.004885,0.030231
0.015014,0.005160,0.028486,0.013201,0.005276,0.029111
0.015905,0.004948,0.028779,0.014669,0.004939,0.031348
0.015571,0.005665,0.028849,0.013523,0.004945,0.028406
0.016913,0.005149,0.029808,0.013591,0.005319,0.030675
0.016327,0.005419,0.029530,0.013648,0.005170,0.029121
0.016504,0.005431,0.030484,0.014636,0.005058,0.031617
0.016435,0.005418,0.030379,0.014525,0.005627,0.031754
0.016885,0.005383,0.029896,0.015050,0.005230,0.032179
0.018605,0.005372,0.032698,0.013938,0.005060,0.028937
0.016564,0.005419,0.029966,0.014845,0.005312,0.030469
0.018501,0.005205,0.032485,0.015261,0.004785,0.032273
0.017065,0.005183,0.030857,0.015756,0.005500,0.032436
0.018286,0.005343,0.033142,0.014862,0.005670,0.031245
0.017835,0.005694,0.031278,0.016334,0.005302,0.033179
0.019155,0.005718,0.033580,0.015220,0.004916,0.030431
0.017191,0.005362,0.030882,0.016505,0.005582,0.035164
0.017534,0.005121,0.030462,0.015438,0.005603,0.031326
0.018194,0.005623,0.032707,0.016601,0.004925,0.033189
0.018091,0.005550,0.031714,0.015807,0.005310,0.031340
0.017137,0.005629,0.029712,0.017460,0.005430,0.033936
0.020418,0.005283,0.034528,0.014562,0.005048,0.029566
0.017948,0.005100,0.029429,0.017229,0.005080,0.032831
0.018243,0.005299,0.031493,0.016178,0.004984,0.031314
0.017899,0.005828,0.030176,0.014900,0.005078,0.029234
0.018531,0.005250,0.030190,0.015688,0.005445,0.030715
0.018975,0.005409,0.031595,0.017383,0.005265,0.033572
0.017341,0.004998,0.029474,0.016660,0.005019,0.031201
0.016959,0.005513,0.028070,0.016277,0.004973,0.031218
0.018887,0.005185,0.030734,0.015314,0.005345,0.029859
0.019322,0.005550,0.031390,0.016789,0.005443,0.031635
0.018522,0.005300,0.029437,0.016460,0.005152,0.031557
0.017519,0.005618,0.028494,0.016772,0.004819,0.032110
0.018142,0.005137,0.029111,0.014423,0.004549,0.027286
0.018692,0.005312,0.029059,0.016287,0.005334,0.029701
0.018469,0.005276,0.028811,0.013349,0.004996,0.026376
0.018423,0.005297,0.028478,0.016108,0.005381,0.029536
0.017384,0.005264,0.028067,0.014300,0.004897,0.025668
0.016829,0.004890,0.025728,0.014938,0.004911,0.026643
0.018236,0.005424,0.028085,0.016458,0.004956,0.029131
0.016694,0.004564,0.026281,0.014687,0.004597,0.026192
0.017623,0.005132,0.026456,0.015004,0.004842,0.027047
0.016877,0.005398,0.024761,0.015662,0.005132,0.026894
0.017222,0.005142,0.025737,0.015997,0.004593,0.027058
0.017203,0.004737,0.025703,0.015001,0.004972,0.025699
0.017971,0.005003,0.026132,0.015452,0.004755,0.025789
0.018887,0.004530,0.027029,0.014838,0.004811,0.025116
0.017868,0.005207,0.025498,0.015882,0.004939,0.026242
