pt1_dltres,pt2_dltres
0.771927,0.177889
1.347202,0.418930
1.162059,0.250994
1.236085,0.057692
1.067046,0.453849
1.032889,0.538690
0.885652,0.335867
0.719207,0.162456
0.635177,0.113351
0.804423,0.243902
0.685246,0.045468
0.590008,0.097472
0.875854,0.176461
0.683072,0.177877
0.535729,0.117913
0.350625,0.336650
0.294387,0.377031
0.172788,0.524917
0.199516,0.640370
0.271193,0.674874
0.241452,0.549366
0.158643,0.519497
0.258003,0.418341
0.307650,0.539315
0.394157,0.842659
0.479358,1.103313
0.204429,1.058185
0.121468,0.802953
0.355072,0.603658
0.677334,0.373318
0.521287,0.215485
0.377186,0.011164
0.275595,0.121249
0.185826,0.144550
0.340276,0.530409
0.281016,1.081083
0.446410,1.010387
0.189230,1.386516
0.201198,1.326198
0.281054,1.254614
0.169435,1.028200
0.170319,1.008242
0.115454,1.076831
0.184832,0.888658
0.090056,0.407958
0.047942,0.034266
0.161369,0.216866
0.248863,0.779560
0.140402,0.953466
0.127731,0.965417
0.196222,0.431964
0.141405,0.238468
0.330222,0.941393
0.519435,1.521143
0.734569,2.357723
0.670603,0.573217
0.859802,0.583837
0.865984,0.768990
0.505493,0.984534
0.045846,1.018361
0.231105,0.088595
0.268061,0.834793
0.176331,1.061505
0.125415,0.891086
0.383588,0.639944
0.271302,0.297852
0.375138,0.197261
0.363742,0.134387
0.278888,0.024474
0.035159,0.060254
0.385687,0.039586
0.792804,0.081292
0.687105,0.101603
0.333573,0.405318
0.083635,0.649498
0.191217,0.697527
0.235725,0.800845
0.319664,0.576805
0.034125,0.266053
0.368882,0.195533
0.625363,0.686921
0.552846,0.873633
0.348521,0.813959
0.326318,0.501242
0.218526,0.318368
0.178416,0.071319
0.159272,0.069931
0.272421,0.187701
0.099610,0.212958
0.240140,0.067074
0.759445,0.234531
0.753156,0.192302
0.665933,0.237825
0.412678,0.095510
0.426046,0.381229
0.160272,0.333469
0.089484,0.272622
0.308006,0.289807
0.416398,0.184191
0.801635,0.065841
0.555627,0.070700
0.106768,0.161353
0.433407,0.083120
0.764416,0.386750
0.481618,0.644829
0.250217,0.571524
0.005839,0.476909
0.218016,0.297437
0.224058,0.013205
0.183669,0.336646
0.429606,0.537182
0.019428,0.718903
0.097909,0.879501
0.161969,1.363229
0.278700,0.608181
0.358668,0.476291
0.346848,0.162606
0.563711,0.080971
0.225005,0.711357
0.400985,0.157994
0.555969,0.188380
0.607832,0.467276
0.450066,0.026617
0.522749,0.477472
0.600446,0.917639
0.667631,0.876498
0.681460,0.933128
0.958222,0.774183
0.921120,0.596318
0.490210,0.089658
0.434816,0.155844
0.499683,0.296395
0.577508,0.291954
0.805360,0.331480
0.974177,0.274098
0.854223,0.033209
0.662124,0.082508
0.785801,0.191738
0.972769,0.442688
1.089427,0.627994
0.973233,0.843394
0.767455,0.866167
0.630513,0.944050
0.774902,0.808701
0.940280,0.597481
0.839347,0.397024
0.709788,0.307838
0.405887,0.467471
0.181624,0.694252
0.557781,0.676085
0.680620,0.706077
0.069052,0.617168
0.119519,0.745466
0.138512,0.846541
0.237458,0.918972
0.557716,0.842777
0.574652,0.760194
0.492835,0.416402
0.128092,0.364939
0.057724,0.010494
0.264367,0.068751
0.347544,0.183502
0.097377,0.017767
0.260016,0.048994
0.553979,0.056132
0.502866,0.155991
0.380538,0.245002
0.246008,0.399217
0.113383,0.528703
0.021920,0.745259
0.117114,0.831920
0.147610,0.724280
0.177781,0.352421
0.066481,0.007711
0.119535,0.158281
0.074010,0.412980
0.182681,0.608408
0.019847,0.586763
0.204539,0.770019
0.285139,0.761251
0.430159,0.730484
0.336062,0.840349
0.589027,1.034442
0.434749,0.834805
0.320887,0.560257
0.460520,0.254854
0.566407,0.238180
0.400560,0.304663
0.306491,0.305278
0.186382,0.088734
0.110640,0.269551
0.073583,0.504517
0.036041,0.473519
0.122076,0.483635
0.368483,0.536497
0.354308,0.615930
0.075217,0.734703
0.033528,0.786528
0.070827,0.329817
0.079894,0.135223
0.154645,0.019599
0.166956,0.139888
0.059867,0.242056
0.379241,0.332027
0.297797,0.294928
0.210783,0.017730
0.176559,0.358871
0.184881,0.437667
0.207618,0.311816
0.233248,0.024787
0.181334,0.486264
0.497484,0.819555
0.507773,0.457341
0.421159,0.118287
0.390658,0.258388
0.252618,0.295277
0.240131,0.266841
0.142323,0.021319
0.106556,0.074028
0.168468,0.239515
0.116993,0.313693
0.086214,0.287152
0.094832,0.163441
0.125599,0.231527
0.742656,0.548638
0.539067,0.336883
0.371109,0.340716
0.229924,0.447474
0.301863,0.208910
0.323354,0.140770
0.068427,0.405074
0.216300,0.662473
0.422223,0.445299
0.259482,0.178758
0.026473,0.176489
0.028070,0.292711
0.060237,0.360732
0.006354,0.446677
0.176014,0.460450
0.469049,0.273409
0.665130,0.184088
0.615159,0.104506
0.352294,0.337697
0.147325,0.229491
0.092073,0.162182
0.094255,0.305956
0.124317,0.570535
0.468769,0.579946
0.749149,0.550495
0.770284,0.719923
0.606623,0.486792
0.398002,0.280868
0.520912,0.064831
0.494140,0.228330
0.311576,0.542721
0.531501,0.475437
0.380170,0.356379
0.019789,0.308783
0.244437,0.269576
0.338710,0.444029
0.216450,0.419725
0.019377,0.169242
0.031045,0.260422
0.073887,0.580528
0.357966,0.494877
0.119322,0.587200
0.122644,0.574593
0.250635,0.701588
0.296903,0.617617
0.406310,0.552024
0.517450,0.803261
0.396815,0.824384
0.181377,0.812258
0.014309,0.744890
0.129484,0.537306
0.346280,0.288371
0.595701,0.215694
0.677119,0.246360
0.518034,0.296480
0.349868,0.565733
0.215310,0.431605
0.369481,0.545439
0.379673,0.652604
0.382815,0.777852
0.395803,0.956116
0.343712,1.043916
0.307613,0.786774
0.181028,1.063328
0.058758,1.261633
0.162610,1.074698
0.049981,0.750728
0.221633,0.620782
0.461975,0.709646
0.325840,1.015876
0.152742,1.350513
0.090496,1.539256
0.057156,1.764999
0.027218,1.608260
0.077002,1.431277
0.046582,1.200275
0.139056,0.938539
0.151677,0.080002
0.151310,0.064939
0.054439,0.166392
0.043637,0.289829
0.152513,0.536230
0.237016,0.512438
0.608810,0.186547
0.594562,0.257314
0.624344,0.266852
0.407795,0.311294
0.191145,0.726462
0.277862,0.709588
0.607793,0.721779
0.591152,0.788255
0.114363,0.750708
0.225625,0.418083
0.298221,0.352939
0.238343,0.186408
0.417040,0.333979
0.088054,0.484683
0.140341,0.717763
0.195443,0.719293
0.215595,0.601243
0.298419,0.331569
0.320864,0.380513
0.282659,0.415730
0.183707,0.699733
0.262764,1.027491
0.510127,0.630072
0.879453,0.237749
0.629941,0.000407
0.278246,0.098118
0.312651,0.274288
0.216108,0.335943
0.180618,0.719335
0.170460,0.872564
0.130279,0.911002
0.208067,0.495260
0.325989,0.480659
0.192565,0.631497
0.136901,0.858543
0.021270,1.058237
0.088518,0.963606
0.157860,0.787177
0.300761,0.658302
0.356400,0.983566
0.128988,0.154094
0.104819,0.058812
0.536065,0.230547
0.578526,0.572676
0.527193,0.892322
0.415220,1.204105
0.355658,1.084623
0.176632,0.965367
0.104617,0.867253
0.088783,0.823586
0.134360,0.467158
0.133389,0.173455
0.118485,0.160339
0.258561,0.089346
