,Year,Month,Day,Trial,Ablation,Darkness,Flow,X_Center,Y_Center,X_SD,Y_SD,School_Speed,School_TB_Freq,NND
0,2021,07,07,14,N,Y,0,1104.5003045112783,341.3256343984963,464.98065868683454,464.98065868683454,2.665013414067969,3.4966797205920863,
1,2021,07,07,14,N,Y,0,1068.5337218045113,335.600132518797,444.1007620766602,444.1007620766602,1.100990905500974,3.334271420462022,
2,2021,07,07,14,N,Y,0,1053.863909774436,333.8443618421053,427.6719112466555,427.6719112466555,2.6250230134127492,2.3972485458533526,
3,2021,07,07,14,N,Y,0,1036.7412368421053,317.8581447368422,418.6316301127655,418.6316301127655,0.5160515785482139,1.674389984565999,
4,2021,07,07,14,N,Y,0,1007.3848681077694,319.8110892857143,417.13918209943046,417.13918209943046,3.4961693641725753,2.824637087046446,
5,2021,07,07,14,N,Y,0,994.3228392857142,311.69493953634077,409.7403205107399,409.7403205107399,2.8876225828337634,2.1347260626930473,
6,2021,07,07,14,N,Y,0,971.0047687969925,310.31740131578954,397.9164637906829,397.9164637906829,4.058136006813642,1.8724542074867965,
7,2021,07,07,14,N,Y,0,857.3769144736842,331.8518937969925,281.3389998327731,281.3389998327731,6.025845878498909,2.626342475320918,
8,2021,07,07,14,N,Y,0,838.622492481203,321.7761200501253,293.62816826545054,293.62816826545054,10.533318873599839,2.905610209244925,
9,2021,07,07,14,N,Y,0,816.297642875627,339.3362878654777,371.9807030444914,371.9807030444914,10.301927490095299,2.159214646354084,
10,2021,07,07,14,N,Y,0,900.5820649958741,284.10778385811153,444.0345133018071,444.0345133018071,10.592138005639617,3.1467577546871617,
11,2021,07,07,14,N,Y,0,917.7006119106723,303.583673581753,539.0201985519998,539.0201985519998,2.001348968366755,4.2443148852379355,
12,2021,07,07,14,N,Y,0,962.484181839801,283.29876766762163,555.8864285387012,555.8864285387012,8.674883461752671,3.875770509992325,0.2556788705579766
13,2021,07,07,14,N,Y,0,1089.0929855761806,245.64729355908906,576.6884240675357,576.6884240675357,3.9088360236753554,4.728859693828833,0.24542740097158053
0,2021,07,07,18,N,Y,2,1161.055228708418,444.66787383393,429.20905998972984,429.20905998972984,4.529655003582929,4.586445869113746,
1,2021,07,07,18,N,Y,2,1181.0551776315788,419.8061409774436,423.92674576217377,423.92674576217377,3.117538777899929,2.60398694620564,
2,2021,07,07,18,N,Y,2,1177.0919379699246,429.905343358396,366.8864677595069,366.8864677595069,8.770454267598842,2.913634170326548,
3,2021,07,07,18,N,Y,2,1153.015572368421,405.86002067669176,387.9836158931267,387.9836158931267,2.708129368268333,3.4160071230708353,
4,2021,07,07,18,N,Y,2,1119.4734868421053,370.52986842105264,386.48149383124183,386.48149383124183,2.64980642955564,3.6271368001804287,
5,2021,07,07,18,N,Y,2,1092.527482142857,343.4633148496241,387.3561514832936,387.3561514832936,6.607682404904405,3.5323741355597313,
6,2021,07,07,18,N,Y,2,1139.197352443609,344.2777565789474,305.235318232704,305.235318232704,4.4119197312260185,3.3820954770339653,
7,2021,07,07,18,N,Y,2,1114.8325413533837,336.531037593985,311.9344286873907,311.9344286873907,4.806444216507835,3.4622122524018804,
8,2021,07,07,18,N,Y,2,981.6572603383457,317.2519266917293,422.64123937745046,422.64123937745046,4.478116602576367,3.481292134078512,
9,2021,07,07,18,N,Y,2,1023.4272001879699,339.2546983082707,360.7011556143707,360.7011556143707,7.203178308959209,3.101651676496877,
10,2021,07,07,18,N,Y,2,985.7437565789475,361.2195216165414,378.3446911695288,378.3446911695288,5.915152141553924,3.38247617201057,
11,2021,07,07,18,N,Y,2,955.1606027664177,365.3574907373315,406.9669606777676,406.9669606777676,8.78191384503054,2.3790452918066465,
12,2021,07,07,18,N,Y,2,842.4546456766918,387.85902819548875,461.7234837880442,461.7234837880442,4.395375692083881,2.8852324910340132,
13,2021,07,07,18,N,Y,2,852.5553815789474,414.9048186090226,464.9151010062938,464.9151010062938,3.7214338976888346,2.869122660793187,
14,2021,07,07,18,N,Y,2,866.3448834586466,451.1311961152882,443.65010980827736,443.65010980827736,9.549799816585066,4.02340137610068,
15,2021,07,07,18,N,Y,2,788.5492988721805,457.7548364661654,471.3658618870184,471.3658618870184,3.5827951071365836,3.568068444713181,
0,2021,10,06,34,Y,N,2,861.8451564880091,298.70265290438294,227.26579596532406,227.26579596532406,2.0781434508277985,3.0905184849568452,
1,2021,10,06,34,Y,N,2,891.5346721324073,297.338882791699,221.43260776587564,221.43260776587564,3.3356912806908325,2.147573019895764,
2,2021,10,06,34,Y,N,2,918.1147767649364,295.9949849507858,201.52773370410682,201.52773370410682,2.1350314104970787,2.7047606670903748,0.2555697107470327
3,2021,10,06,34,Y,N,2,959.3077610064681,275.2176498584185,166.99830951678697,166.99830951678697,2.234747153149984,2.7226347662681043,
4,2021,10,06,34,Y,N,2,983.6765137493074,272.23734771163544,146.61000975517655,146.61000975517655,5.398651662051529,2.2934825140993897,0.29421266887773617
5,2021,10,06,34,Y,N,2,1050.9414774697543,278.23230919309606,188.66073997134276,188.66073997134276,1.5452111766803487,3.126879022098939,0.28786251811315705
6,2021,10,06,34,Y,N,2,1072.0890394736846,267.9355131578947,209.87962088799276,209.87962088799276,1.905901297009034,3.2569932864450117,0.22954518727309176
7,2021,10,06,34,Y,N,2,1078.0398881578947,259.5451907894737,224.39007714522518,224.39007714522518,1.938167117277936,3.1197602656020855,
8,2021,10,06,34,Y,N,2,1083.3345789473685,251.49515789473682,235.8820912220655,235.8820912220655,1.8950553488420157,3.1828790726817044,0.32124597975243296
9,2021,10,06,34,Y,N,2,1085.0092105263157,240.6569605263158,248.2368700359692,248.2368700359692,2.082592569456262,3.1384999374092497,0.2630339300069071
10,2021,10,06,34,Y,N,2,1048.9887735057303,269.26731354196863,232.711333532938,232.711333532938,4.4468776919248,2.6326358750423653,
11,2021,10,06,34,Y,N,2,1023.2072736842103,280.19127368421056,222.94314874827796,222.94314874827796,2.055438946815041,2.6471731112615244,
12,2021,10,06,34,Y,N,2,1020.5992493533503,247.38613145839903,221.98255261102938,221.98255261102938,7.824156026552358,2.928803232225434,
13,2021,10,06,34,Y,N,2,1034.8222387218043,226.0820056390978,251.91178364905207,251.91178364905207,5.647459179362679,3.4274548999247534,
14,2021,10,06,34,Y,N,2,1025.2802434210528,228.94811685463662,270.62435527591225,270.62435527591225,3.2806267636806066,3.9170055614058836,
0,2021,10,06,38,Y,N,0,939.6607227443609,315.9194332706767,196.40281707584197,196.40281707584197,1.0205688430250233,2.817240376412653,0.2811772213836931
1,2021,10,06,38,Y,N,0,951.4939163533835,318.45138063909775,207.20196111352072,207.20196111352072,0.7373911632687521,2.283798533932408,
2,2021,10,06,38,Y,N,0,970.3892763157895,335.09540789473687,211.99045529249466,211.99045529249466,0.31911802091205327,2.661747097506736,0.2521302399218605
3,2021,10,06,38,Y,N,0,989.8404736842106,340.8663881578947,206.71951094433913,206.71951094433913,0.3963083317168269,2.1252132092735634,0.26015677224040884
4,2021,10,06,38,Y,N,0,1010.5636250000002,347.4791842105263,212.1361791055822,212.1361791055822,0.34421749825871034,1.948031829096054,0.2643294318944618
5,2021,10,06,38,Y,N,0,1029.5820460526318,352.16557236842107,223.2757025906801,223.2757025906801,0.3286433779055777,2.492912528916242,0.2652389824819473
6,2021,10,06,38,Y,N,0,1049.4048552631577,358.0472302631579,236.71089598739468,236.71089598739468,0.3707819305282662,1.7291921062515505,0.2618875658876807
7,2021,10,06,38,Y,N,0,1070.1994110294224,364.3555266955452,241.45493808837344,241.45493808837344,2.209650649923835,1.5776378548879224,0.26236828382901417
8,2021,10,06,38,Y,N,0,1064.8093684210526,381.35512500000004,243.61284856745706,243.61284856745706,0.2062795432369605,1.6183304534574063,0.291948309903714
9,2021,10,06,38,Y,N,0,1089.3798787593985,382.68171804511275,243.97171245253588,243.97171245253588,1.130897833792418,1.7416156097946476,0.1740838682335672
10,2021,10,06,38,Y,N,0,1082.61484962406,397.7824483082707,245.47228976375808,245.47228976375808,0.9409724142558301,1.9389877154236175,0.23581267877895215
11,2021,10,06,38,Y,N,0,1102.7572791353384,408.2056156015037,242.74848447972334,242.74848447972334,1.0911264176084634,2.798219967752377,0.24380088973716765
12,2021,10,06,38,Y,N,0,1132.7546842105264,411.2003421052632,241.07338340171563,241.07338340171563,0.4725304611781295,2.715852797115827,0.29495581352354516
13,2021,10,06,38,Y,N,0,1162.9660789473685,410.84226973684207,243.51850748484355,243.51850748484355,0.513801807250802,2.2832715471149454,0.27117956980631763
14,2021,10,06,38,Y,N,0,1194.5655986842105,406.8210855263158,251.71838913082013,251.71838913082013,0.5792296331125539,2.1406960305262706,0.29039044899790906
0,2021,10,08,15,N,Y,0,1248.0909979928842,371.62912138109084,274.4802718273023,274.4802718273023,3.3724439190044633,3.746302327460408,0.2066643092718281
1,2021,10,08,15,N,Y,0,1238.427740528143,378.54081358511024,330.2651076506695,330.2651076506695,4.9602844579437475,1.4349793832851714,0.21610274650136585
2,2021,10,08,15,N,Y,0,1228.324730168046,379.20734776179114,403.9944239247365,403.9944239247365,6.741058772599648,1.443416178828891,
3,2021,10,08,15,N,Y,0,1219.3546554553095,363.7501653341236,476.23884756312845,476.23884756312845,2.6207114987520574,2.1747843545065004,
4,2021,10,08,15,N,Y,0,1190.105416690742,341.20900235127965,544.122368030155,544.122368030155,4.437234597411168,2.050631962231924,
5,2021,10,08,15,N,Y,0,1166.7778890301101,347.1681195357825,554.3175913873844,554.3175913873844,5.867756840526317,1.7436279681990738,
6,2021,10,08,15,N,Y,0,1218.141289473684,368.90945043436466,564.8866319535297,564.8866319535297,0.8615721349456292,1.8123567049745246,
7,2021,10,08,15,N,Y,0,1198.6658977382547,412.0995658540048,596.5155477376663,596.5155477376663,0.7842115581876464,1.877918778142737,
8,2021,10,08,15,N,Y,0,1188.640652835235,423.74718444294683,616.7281238380748,616.7281238380748,13.020979099501952,1.6240526722781332,
9,2021,10,08,15,N,Y,0,1038.838527634236,484.2647584689701,549.6393521599516,549.6393521599516,11.019300673794271,1.8184881178946575,0.3166497129457111
10,2021,10,08,15,N,Y,0,1119.0428417816565,523.7247952803106,498.58964280355895,498.58964280355895,17.16375026150669,2.0277647930492795,
11,2021,10,08,15,N,Y,0,1204.2636102756892,553.3444912280702,486.03437474464914,486.03437474464914,6.723212767597178,2.1727461090707254,
12,2021,10,08,15,N,Y,0,1186.1937330827066,571.1505952380952,450.553038368193,450.553038368193,7.295836565718476,1.8756820364298505,
13,2021,10,08,15,N,Y,0,1156.9241824561402,585.3872105263157,379.78739243329875,379.78739243329875,9.732463720667031,1.6608149806936006,0.15321266929322586
14,2021,10,08,15,N,Y,0,1153.3581882920707,525.2497432846525,441.95445198361114,441.95445198361114,8.86865821085105,1.726383635586196,0.2622024208545863
15,2021,10,08,15,N,Y,0,1128.896404550458,478.0919158496428,470.1227567994809,470.1227567994809,14.368884769647615,2.08902706855327,0.44599431969051556
16,2021,10,08,15,N,Y,0,1122.4596250000002,425.11737781954884,491.9324181788831,491.9324181788831,11.156481642010613,2.4187523959003734,
17,2021,10,08,15,N,Y,0,1161.5233330200501,393.46123276942353,494.3875546924473,494.3875546924473,7.3488261412261275,2.8418347561986614,
0,2021,07,07,17,N,Y,2,835.5814671052633,369.67094078947366,361.54090053867156,361.54090053867156,2.002025317690051,5.291979949874687,
1,2021,07,07,17,N,Y,2,831.3223890977445,412.3456015037594,337.52403780817474,337.52403780817474,3.928515277429611,3.5445947250091163,
2,2021,07,07,17,N,Y,2,830.0026250000001,422.5895855263158,316.41087207835096,316.41087207835096,1.9983045893943572,3.321328675243432,
3,2021,07,07,17,N,Y,2,831.7777763157893,417.3635723684211,320.8142564122143,320.8142564122143,1.9193570509118896,3.1300984022371487,
4,2021,07,07,17,N,Y,2,841.7478063909774,433.0634830827067,338.96526943697694,338.96526943697694,3.3969750867503676,3.6163435494121337,
5,2021,07,07,17,N,Y,2,869.4208328320802,437.3599784461153,333.0250037951979,333.0250037951979,5.786924103314223,2.00334812142591,
6,2021,07,07,17,N,Y,2,889.8123388075655,466.3033347917587,385.525647673197,385.525647673197,7.051385532417706,1.661391777978143,0.21423028870020258
7,2021,07,07,17,N,Y,2,913.9902787534414,454.86436802740707,403.4758405293895,403.4758405293895,4.236881772894197,2.662238465195894,0.23422667926457671
8,2021,07,07,17,N,Y,2,998.3727960526314,453.99373026315794,439.8997649537752,439.8997649537752,1.3780285350792987,2.2449709328827976,0.1837235254673686
9,2021,07,07,17,N,Y,2,1035.4871184210526,455.5353157894737,483.32895934729413,483.32895934729413,1.525400785614411,2.5278983535387147,0.2341010051957165
10,2021,07,07,17,N,Y,2,1039.511147556391,459.02577913533844,512.121348810725,512.121348810725,8.650079587253874,3.7617614398726618,
11,2021,07,07,17,N,Y,2,1026.013448673191,472.6498124873282,561.3678454815437,561.3678454815437,15.535071258989607,2.180130784071001,
12,2021,07,07,17,N,Y,2,1086.6997738422233,447.8737506261775,586.6908660855506,586.6908660855506,8.581476906716386,1.9097201380414213,
13,2021,07,07,17,N,Y,2,1042.2658972431077,451.47491604010025,564.5749246382813,564.5749246382813,4.659553083973252,1.9200908883551766,
14,2021,07,07,17,N,Y,2,988.7051987468672,442.9827644110276,608.0110216283377,608.0110216283377,7.611351465287081,1.6851859181882431,
15,2021,07,07,17,N,Y,2,1121.029355889724,399.36416290726817,641.1088534981438,641.1088534981438,4.734024736427847,2.44332916078176,
16,2021,07,07,17,N,Y,2,976.811957406233,389.3721346980976,537.3071626541769,537.3071626541769,24.239389031260803,2.1522516469803166,
17,2021,07,07,17,N,Y,2,964.0136594075137,383.67856252137796,559.9050000092287,559.9050000092287,10.833235748343421,2.494601394076734,
18,2021,07,07,17,N,Y,2,1036.4464763428423,348.2203420236385,598.4351988527012,598.4351988527012,7.463995140061736,3.2387675372872735,
0,2021,10,06,39,Y,N,0,1143.2940986842107,419.5434671052631,199.67726648898355,199.67726648898355,0.19237454366353735,2.96357929136567,
1,2021,10,06,39,Y,N,0,1136.4609830827067,419.1231456766917,198.89777385952465,198.89777385952465,1.5872815377015952,2.2518303216527102,
2,2021,10,06,39,Y,N,0,1140.51375,413.81398684210524,202.83755576179652,202.83755576179652,0.19444174988982973,1.9331809254775785,
3,2021,10,06,39,Y,N,0,1148.9991663533833,411.76997650375944,188.42325835069886,188.42325835069886,2.3487134855788776,1.9721019225353247,
4,2021,10,06,39,Y,N,0,1166.5770601588076,404.30199496403355,170.13306559017224,170.13306559017224,1.9462213682249616,1.9554406271192075,
5,2021,10,06,39,Y,N,0,1185.2903692174693,390.59453842875746,143.5307384897722,143.5307384897722,2.7548205113376687,1.7213342501839375,0.3042406288375399
6,2021,10,06,39,Y,N,0,1150.1760694483648,377.50406870315277,198.67246097591854,198.67246097591854,0.5845403732278446,1.8381411059162698,0.2183576454913917
7,2021,10,06,39,Y,N,0,1146.2144259241625,370.27635920355425,210.50323142024928,210.50323142024928,0.6109083879962006,2.0408178591523636,0.26335792379645934
8,2021,10,06,39,Y,N,0,1155.0213947368422,354.06110526315786,208.535496265117,208.535496265117,0.29395863824893764,2.0270931943253423,0.2349965363106185
9,2021,10,06,39,Y,N,0,1166.435407894737,349.5785065789473,201.34780555196045,201.34780555196045,0.24919848276911552,1.9557792141878318,0.40451266080231063
10,2021,10,06,39,Y,N,0,1172.1831907894737,339.8656644736842,205.27038598021835,205.27038598021835,0.21155322642159585,2.068769218017429,0.26630609724369075
11,2021,10,06,39,Y,N,0,1175.2013486842106,332.0087039473685,217.6528081124659,217.6528081124659,0.15012417902481148,2.3664076052190577,0.2259684377930535
12,2021,10,06,39,Y,N,0,1176.669655517373,333.26295395753607,237.91249974579773,237.91249974579773,1.0995552209036736,1.9001612206029976,
13,2021,10,06,39,Y,N,0,1186.4571757518797,334.39760432330826,260.4299536286995,260.4299536286995,0.8959437754326651,1.9732298841805622,0.18072579831010896
14,2021,10,06,39,Y,N,0,1184.699552631579,340.27750000000003,280.16437725584854,280.16437725584854,0.20880528388960043,1.7088887471614067,
0,2021,07,07,16,N,Y,2,1177.8028281436111,469.4505708996645,296.2525588071614,296.2525588071614,6.120634417683165,3.7067599372212556,0.2797180835769072
1,2021,07,07,16,N,Y,2,1208.3753403199244,454.43149735281946,339.07910544733363,339.07910544733363,2.578623176726464,2.687700362200996,0.27944955538504906
2,2021,07,07,16,N,Y,2,1197.0550594273327,451.3000731126788,374.24769792247287,374.24769792247287,11.737979794848842,1.9675897839247833,0.32943102495576315
3,2021,07,07,16,N,Y,2,1246.6670585070522,434.44606856246827,438.05456709251735,438.05456709251735,5.300762487188351,2.5823851543519765,0.23487096253995746
4,2021,07,07,16,N,Y,2,1287.586585526316,437.1327368421053,471.1882894060057,471.1882894060057,3.0467441292137254,2.471371790544088,
5,2021,07,07,16,N,Y,2,1297.0720592105263,427.69579605263164,489.5307529410048,489.5307529410048,1.8484951198779995,2.309916996991384,0.2607142342608184
6,2021,07,07,16,N,Y,2,1254.4329469298248,447.5125,499.7423701606077,499.7423701606077,9.05070194595058,1.9824106377011694,
7,2021,07,07,16,N,Y,2,1346.107609837093,435.66261979949877,481.19335537777397,481.19335537777397,13.861809483191635,2.116434294734777,
8,2021,07,07,16,N,Y,2,1381.0683924336947,461.44334997268027,442.30321839493206,442.30321839493206,7.8146989288316675,2.214152945151731,
9,2021,07,07,16,N,Y,2,1367.4890851117889,461.1852189170226,419.7771005989819,419.7771005989819,2.845452650431736,3.1710055080168624,
10,2021,07,07,16,N,Y,2,1345.648209721872,439.4867476875973,391.9831985209434,391.9831985209434,3.500767470632221,2.846308354123936,
11,2021,07,07,16,N,Y,2,1177.135276110547,417.29099146189765,473.14967851150993,473.14967851150993,8.636783363107748,3.134969452448373,
12,2021,07,07,16,N,Y,2,1134.8108399542782,389.81626312639645,452.46875739222935,452.46875739222935,3.2461858381493043,3.0477587456601065,
13,2021,07,07,16,N,Y,2,1090.3376749394433,373.8889877819549,434.20173499246306,434.20173499246306,3.275204117490509,4.143827130045968,
14,2021,07,07,16,N,Y,2,1041.3504736842106,339.18021052631576,399.9738500333063,399.9738500333063,2.8514014453342877,3.4269138755980855,
0,2021,03,25,12,N,N,0,922.451133033041,286.11954488780407,338.0010815301602,338.0010815301602,2.815303887836956,3.04201874812129,0.4498348947390404
1,2021,03,25,12,N,N,0,885.0936935237578,257.536012313509,333.14540340784094,333.14540340784094,6.0231400056833,2.517896967620732,
2,2021,03,25,12,N,N,0,849.973984962406,241.38514805203297,301.28907693159954,301.28907693159954,2.192750140887519,2.3094832635059164,
3,2021,03,25,12,N,N,0,830.8548016917293,236.68780545112782,277.32716345581827,277.32716345581827,1.290994581561635,2.2073135906378436,
4,2021,03,25,12,N,N,0,833.0236799735886,249.01772024740944,272.48490398617054,272.48490398617054,0.8277819634531013,2.610252518812796,
5,2021,03,25,12,N,N,0,806.928821189802,254.58419139401204,261.17299099371905,261.17299099371905,1.285029117889575,2.3478278047383228,
6,2021,03,25,12,N,N,0,794.2553937969924,251.42820394736842,240.93783473486934,240.93783473486934,0.5567429357143471,1.9884705699201506,
7,2021,03,25,12,N,N,0,774.366116340007,251.40349107760588,232.86757257873015,232.86757257873015,0.6764746816712486,1.7402867666509996,
8,2021,03,25,12,N,N,0,755.6772045866754,253.9361773129334,211.8811814964513,211.8811814964513,0.4285893233619972,1.8538156351494985,
9,2021,03,25,12,N,N,0,737.0647431328598,265.59210367939846,176.07872332041296,176.07872332041296,1.2297615741594334,2.0001942340846823,
10,2021,03,25,12,N,N,0,696.2572011278197,271.0409097744361,158.69808442711118,158.69808442711118,0.9756888747306043,2.3413910803872606,
11,2021,03,25,12,N,N,0,667.8568862781954,265.73778665413533,153.89115318761918,153.89115318761918,1.017306761113324,2.6099712914215196,
12,2021,03,25,12,N,N,0,659.6745723684211,246.04834210526315,146.1726499891955,146.1726499891955,0.4269510101675626,2.10246902348305,
13,2021,03,25,12,N,N,0,674.6002434210527,246.0312697368421,124.85723054546736,124.85723054546736,0.3085937617951053,1.6699077498992587,
14,2021,03,25,12,N,N,0,680.9821447368422,259.76776879699247,129.223867166671,129.223867166671,0.37710540021979366,2.1009059839801973,
15,2021,03,25,12,N,N,0,678.8743353492073,289.24115639942545,150.0490723005996,150.0490723005996,4.008216960493521,2.240001216796356,
0,2021,08,03,21,Y,N,0,1495.9897673034704,341.3912934667983,177.1630112412503,177.1630112412503,1.8195070070008281,3.867147066435418,
1,2021,08,03,21,Y,N,0,1480.894708821921,316.8700607196317,143.78104525676986,143.78104525676986,2.4482035582530126,2.4788388975312237,
2,2021,08,03,21,Y,N,0,1464.7658366777196,317.22018123498634,128.28519119341703,128.28519119341703,5.32236537520102,2.1909307686370783,
3,2021,08,03,21,Y,N,0,1449.0569183655239,301.44541258672547,126.85815294247641,126.85815294247641,4.04110084860352,2.5736012968384587,
4,2021,08,03,21,Y,N,0,1440.0603092132278,324.41193274121895,145.84878762350093,145.84878762350093,6.454626673301975,2.7291907279329877,
5,2021,08,03,21,Y,N,0,1400.2196543203918,342.9954737827324,193.39700783697495,193.39700783697495,3.9222222987974114,2.677916182463396,
6,2021,08,03,21,Y,N,0,1347.308823621554,356.02971522556396,216.26558850377847,216.26558850377847,1.7926254545068998,2.4288341422860715,
7,2021,08,03,21,Y,N,0,1279.8624458724244,344.8445430233238,204.5905758947017,204.5905758947017,2.56562742335769,3.277505162623117,
8,2021,08,03,21,Y,N,0,1202.5964449042763,332.7835506429349,197.03632848246988,197.03632848246988,2.090768702328308,2.445538021384853,
9,2021,08,03,21,Y,N,0,1140.4875460526316,311.8271052631579,187.65895368275568,187.65895368275568,0.9474058105990492,2.4355948265322143,
10,2021,08,03,21,Y,N,0,1096.5354605263158,284.56992763157893,185.12757837588128,185.12757837588128,0.8125859007705436,2.0994536939920327,
