Year,Month,Day,Trial,Ablation,Darkness,Singles,Flow,Frame,Fish,Turn_Dir,Fish_Left,Fish_Right
2024,01,19,06,Y,Y,N,2,173,individual1,0,0,7
2024,01,19,06,Y,Y,N,2,186,individual1,0,1,6
2024,01,19,06,Y,Y,N,2,151,individual3,1,2,5
2024,01,19,06,Y,Y,N,2,175,individual6,1,4,3
2024,01,19,06,Y,Y,N,2,359,individual6,1,5,2
2024,01,19,06,Y,Y,N,2,419,individual6,0,3,4
2023,12,05,17,Y,Y,N,0,219,individual1,0,4,3
2023,12,05,17,Y,Y,N,0,246,individual1,0,1,5
2023,12,05,17,Y,Y,N,0,63,individual2,0,4,3
2023,12,05,17,Y,Y,N,0,274,individual2,0,1,6
2023,12,05,17,Y,Y,N,0,356,individual2,None,0,7
2023,12,05,17,Y,Y,N,0,72,individual3,0,0,7
2023,12,05,17,Y,Y,N,0,134,individual3,0,2,5
2023,12,05,17,Y,Y,N,0,360,individual3,1,4,3
2023,12,05,17,Y,Y,N,0,382,individual3,1,3,3
2023,12,05,17,Y,Y,N,0,18,individual4,0,2,5
2023,12,05,17,Y,Y,N,0,209,individual4,0,1,5
2023,12,05,17,Y,Y,N,0,326,individual4,0,1,6
2023,12,05,17,Y,Y,N,0,303,individual5,1,6,1
2023,12,05,17,Y,Y,N,0,395,individual5,1,6,0
2023,12,05,17,Y,Y,N,0,92,individual6,0,3,4
2023,12,05,17,Y,Y,N,0,131,individual6,0,4,3
2023,12,05,17,Y,Y,N,0,338,individual6,0,3,4
2023,12,05,17,Y,Y,N,0,167,individual7,0,0,7
2023,12,05,17,Y,Y,N,0,391,individual7,0,1,5
2023,12,05,17,Y,Y,N,0,419,individual7,0,0,7
2024,01,19,03,Y,Y,N,2,85,individual8,1,5,2
2023,12,05,01,Y,Y,N,0,74,individual1,1,7,0
2023,12,05,01,Y,Y,N,0,548,individual1,0,2,5
2023,12,05,01,Y,Y,N,0,233,individual2,0,2,3
2023,12,05,01,Y,Y,N,0,305,individual2,1,4,3
2023,12,05,01,Y,Y,N,0,340,individual2,1,4,3
2023,12,05,01,Y,Y,N,0,453,individual2,1,4,3
2023,12,05,01,Y,Y,N,0,512,individual2,0,3,3
2023,12,05,01,Y,Y,N,0,532,individual2,0,4,3
2023,12,05,01,Y,Y,N,0,390,individual3,1,5,1
2023,12,05,01,Y,Y,N,0,172,individual4,0,2,5
2023,12,05,01,Y,Y,N,0,201,individual4,1,5,0
2023,12,05,01,Y,Y,N,0,390,individual4,1,6,0
2023,12,05,01,Y,Y,N,0,59,individual5,0,1,6
2023,12,05,01,Y,Y,N,0,119,individual5,0,0,5
2023,12,05,01,Y,Y,N,0,152,individual5,0,1,5
2023,12,05,01,Y,Y,N,0,228,individual5,None,5,1
2023,12,05,01,Y,Y,N,0,251,individual5,0,2,2
2023,12,05,01,Y,Y,N,0,277,individual5,0,4,2
2023,12,05,01,Y,Y,N,0,487,individual5,0,4,1
2023,12,05,01,Y,Y,N,0,39,individual6,0,2,3
2023,12,05,01,Y,Y,N,0,77,individual6,0,5,2
2023,12,05,01,Y,Y,N,0,110,individual6,0,1,2
2023,12,05,01,Y,Y,N,0,480,individual6,1,2,3
2023,12,05,01,Y,Y,N,0,500,individual6,1,6,0
2023,12,05,01,Y,Y,N,0,551,individual6,0,2,5
2023,12,05,01,Y,Y,N,0,124,individual7,1,6,0
2023,12,05,01,Y,Y,N,0,310,individual7,1,2,5
2023,12,05,01,Y,Y,N,0,333,individual7,1,7,0
2023,12,05,01,Y,Y,N,0,18,individual8,1,4,3
2023,12,05,01,Y,Y,N,0,48,individual8,1,5,1
2023,12,05,01,Y,Y,N,0,130,individual8,1,0,5
2023,12,05,01,Y,Y,N,0,151,individual8,1,6,0
2023,12,05,01,Y,Y,N,0,231,individual8,0,5,0
2023,12,05,01,Y,Y,N,0,435,individual8,1,7,0
2023,12,05,01,Y,Y,N,0,454,individual8,1,7,0
2023,12,05,01,Y,Y,N,0,502,individual8,1,5,1
2023,12,05,27,Y,Y,N,0,161,individual1,0,0,7
2023,12,05,27,Y,Y,N,0,163,individual2,1,5,2
2023,12,05,27,Y,Y,N,0,203,individual2,1,2,4
2023,12,05,27,Y,Y,N,0,327,individual2,1,2,4
2023,12,05,27,Y,Y,N,0,461,individual2,0,0,7
2023,12,05,27,Y,Y,N,0,237,individual3,0,2,5
2023,12,05,27,Y,Y,N,0,566,individual3,0,1,6
2023,12,05,27,Y,Y,N,0,59,individual4,1,1,6
2023,12,05,27,Y,Y,N,0,106,individual4,1,2,5
2023,12,05,27,Y,Y,N,0,270,individual4,0,1,6
2023,12,05,27,Y,Y,N,0,351,individual4,0,0,7
2023,12,05,27,Y,Y,N,0,565,individual5,0,0,7
2023,12,05,27,Y,Y,N,0,391,individual6,1,4,3
2023,12,05,27,Y,Y,N,0,79,individual7,1,3,4
2023,12,05,27,Y,Y,N,0,528,individual7,1,7,0
2023,12,05,27,Y,Y,N,0,498,individual8,1,6,1
2024,01,19,17,Y,Y,N,2,323,individual4,1,6,1
2024,01,19,17,Y,Y,N,2,239,individual6,1,1,6
2023,12,05,37,Y,Y,N,0,242,individual2,1,3,3
2023,12,05,37,Y,Y,N,0,346,individual2,1,4,3
2023,12,05,37,Y,Y,N,0,268,individual3,1,4,2
2023,12,05,37,Y,Y,N,0,320,individual3,1,6,1
2023,12,05,37,Y,Y,N,0,560,individual3,1,3,4
2023,12,05,37,Y,Y,N,0,42,individual5,1,5,2
2023,12,05,37,Y,Y,N,0,123,individual5,1,4,2
2023,12,05,37,Y,Y,N,0,416,individual5,1,6,1
2023,12,05,37,Y,Y,N,0,547,individual5,1,6,1
2023,12,05,37,Y,Y,N,0,277,individual6,0,1,5
2023,12,05,37,Y,Y,N,0,535,individual6,0,2,5
2023,12,05,37,Y,Y,N,0,236,individual7,0,6,0
2023,12,05,37,Y,Y,N,0,291,individual7,0,0,7
2023,12,05,37,Y,Y,N,0,113,individual8,0,0,7
2023,12,05,37,Y,Y,N,0,155,individual8,0,0,6
